,#,host/name,direction,2s,10s,40s,cumulative,t,cumulative_parsed,t_parsed
235,,L02197.DIRECTORY.INTRA,<=,2.91Kb,2.91Kb,2.91Kb,746B,15-20-40.244536272,746,1900-01-01 15:20:40.244536272
236,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-20-40.244536272,0,1900-01-01 15:20:40.244536272
237,,L02197.DIRECTORY.INTRA,<=,304b,304b,304b,76B,15-20-40.244536272,76,1900-01-01 15:20:40.244536272
238,1,172.21.134.247,=>,544b,544b,544b,136B,15-17-30.026684014,136,1900-01-01 15:17:30.026684014
239,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-17-30.026684014,864,1900-01-01 15:17:30.026684014
240,1,172.21.134.247,=>,636b,636b,636b,159B,15-23-12.137705536,159,1900-01-01 15:23:12.137705536
241,,L02197.DIRECTORY.INTRA,<=,3.73Kb,3.73Kb,3.73Kb,956B,15-23-12.137705536,956,1900-01-01 15:23:12.137705536
242,1,172.21.134.247,=>,12.2Kb,12.2Kb,12.2Kb,3.06KB,15-17-19.226211993,3060,1900-01-01 15:17:19.226211993
243,,lb-140-82-113-22-iad.github.com,<=,15.2Kb,15.2Kb,15.2Kb,3.80KB,15-17-19.226211993,3800,1900-01-01 15:17:19.226211993
244,2,172.21.134.247,=>,680b,680b,680b,170B,15-17-19.226211993,170,1900-01-01 15:17:19.226211993
245,,L02197.DIRECTORY.INTRA,<=,2.32Kb,2.32Kb,2.32Kb,595B,15-17-19.226211993,595,1900-01-01 15:17:19.226211993
246,1,172.21.134.247,=>,636b,636b,636b,159B,15-22-07.442690024,159,1900-01-01 15:22:07.442690024
247,,172.21.128.1,<=,4.09Kb,4.09Kb,4.09Kb,1.02KB,15-22-07.442690024,1020,1900-01-01 15:22:07.442690024
248,1,172.21.134.247,=>,544b,544b,544b,136B,15-22-22.776925751,136,1900-01-01 15:22:22.776925751
249,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-22-22.776925751,432,1900-01-01 15:22:22.776925751
250,1,172.21.134.247,=>,544b,544b,544b,136B,15-23-08.927490857,136,1900-01-01 15:23:08.927490857
251,,L02197.DIRECTORY.INTRA,<=,5.42Kb,5.42Kb,5.42Kb,1.36KB,15-23-08.927490857,1360,1900-01-01 15:23:08.927490857
252,1,172.21.134.247,=>,0b,0b,0b,0B,15-19-19.415890474,0,1900-01-01 15:19:19.415890474
253,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-19-19.415890474,864,1900-01-01 15:19:19.415890474
254,1,172.21.134.247,=>,0b,0b,0b,0B,15-23-17.534101103,0,1900-01-01 15:23:17.534101103
255,,L02197.DIRECTORY.INTRA,<=,2.05Kb,2.05Kb,2.05Kb,524B,15-23-17.534101103,524,1900-01-01 15:23:17.534101103
256,1,172.21.134.247,=>,544b,544b,544b,136B,15-18-54.991498968,136,1900-01-01 15:18:54.991498968
257,,L02197.DIRECTORY.INTRA,<=,7.23Kb,7.23Kb,7.23Kb,1.81KB,15-18-54.991498968,1810,1900-01-01 15:18:54.991498968
258,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-18-54.991498968,0,1900-01-01 15:18:54.991498968
259,,L02197.DIRECTORY.INTRA,<=,316b,316b,316b,79B,15-18-54.991498968,79,1900-01-01 15:18:54.991498968
260,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-20-58.446776674,272,1900-01-01 15:20:58.446776674
261,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-20-58.446776674,864,1900-01-01 15:20:58.446776674
262,1,172.21.134.247,=>,544b,544b,544b,136B,15-20-17.731267363,136,1900-01-01 15:20:17.731267363
263,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-20-17.731267363,864,1900-01-01 15:20:17.731267363
264,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-21-46.966884735,272,1900-01-01 15:21:46.966884735
265,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-21-46.966884735,432,1900-01-01 15:21:46.966884735
266,2,172.21.143.255,=>,0b,0b,0b,0B,15-21-46.966884735,0,1900-01-01 15:21:46.966884735
267,,L02197.DIRECTORY.INTRA,<=,288b,288b,288b,72B,15-21-46.966884735,72,1900-01-01 15:21:46.966884735
268,1,172.21.134.247,=>,0b,0b,0b,0B,15-23-30.237253774,0,1900-01-01 15:23:30.237253774
269,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-23-30.237253774,432,1900-01-01 15:23:30.237253774
270,1,172.21.134.247,=>,0b,0b,0b,0B,15-24-46.588095757,0,1900-01-01 15:24:46.588095757
271,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-24-46.588095757,432,1900-01-01 15:24:46.588095757
272,1,172.21.134.247,=>,0b,0b,0b,0B,15-21-25.617071374,0,1900-01-01 15:21:25.617071374
273,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-21-25.617071374,432,1900-01-01 15:21:25.617071374
274,1,172.21.134.247,=>,544b,544b,544b,136B,15-23-27.064328846,136,1900-01-01 15:23:27.064328846
275,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-23-27.064328846,432,1900-01-01 15:23:27.064328846
276,2,255.255.255.255,=>,0b,0b,0b,0B,15-23-27.064328846,0,1900-01-01 15:23:27.064328846
277,,L02197.DIRECTORY.INTRA,<=,272b,272b,272b,68B,15-23-27.064328846,68,1900-01-01 15:23:27.064328846
278,1,172.21.134.247,=>,944b,944b,944b,236B,15-20-37.047726830,236,1900-01-01 15:20:37.047726830
279,,20.74.18.95,<=,1.06Kb,1.06Kb,1.06Kb,271B,15-20-37.047726830,271,1900-01-01 15:20:37.047726830
280,2,239.255.255.250,=>,0b,0b,0b,0B,15-20-37.047726830,0,1900-01-01 15:20:37.047726830
281,,L02197.DIRECTORY.INTRA,<=,792b,792b,792b,198B,15-20-37.047726830,198,1900-01-01 15:20:37.047726830
282,1,172.21.134.247,=>,0b,0b,0b,0B,15-24-25.302325058,0,1900-01-01 15:24:25.302325058
283,,L02197.DIRECTORY.INTRA,<=,2.52Kb,2.52Kb,2.52Kb,644B,15-24-25.302325058,644,1900-01-01 15:24:25.302325058
284,1,172.21.134.247,=>,1.06Kb,1.06Kb,1.06Kb,272B,15-25-43.764932411,272,1900-01-01 15:25:43.764932411
285,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-25-43.764932411,864,1900-01-01 15:25:43.764932411
286,1,172.21.134.247,=>,544b,544b,544b,136B,15-24-16.732132930,136,1900-01-01 15:24:16.732132930
287,,L02197.DIRECTORY.INTRA,<=,3.38Kb,3.38Kb,3.38Kb,864B,15-24-16.732132930,864,1900-01-01 15:24:16.732132930
288,1,172.21.134.247,=>,0b,0b,0b,0B,15-26-08.477349232,0,1900-01-01 15:26:08.477349232
289,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-26-08.477349232,432,1900-01-01 15:26:08.477349232
290,1,mdns.mcast.net,=>,0b,0b,0b,0B,15-19-10.826747108,0,1900-01-01 15:19:10.826747108
291,,L02197.DIRECTORY.INTRA,<=,608b,608b,608b,152B,15-19-10.826747108,152,1900-01-01 15:19:10.826747108
292,1,172.21.134.247,=>,544b,544b,544b,136B,15-25-28.729175954,136,1900-01-01 15:25:28.729175954
293,,L02197.DIRECTORY.INTRA,<=,1.69Kb,1.69Kb,1.69Kb,432B,15-25-28.729175954,432,1900-01-01 15:25:28.729175954
294,1,172.21.134.247,=>,636b,636b,636b,159B,15-22-04.247726145,159,1900-01-01 15:22:04.247726145
295,,L02197.DIRECTORY.INTRA,<=,6.14Kb,6.14Kb,6.14Kb,1.54KB,15-22-04.247726145,1540,1900-01-01 15:22:04.247726145
296,1,172.21.134.247,=>,544b,544b,544b,136B,15-25-07.115607818,136,1900-01-01 15:25:07.115607818
297,,L02197.DIRECTORY.INTRA,<=,3.73Kb,3.73Kb,3.73Kb,956B,15-25-07.115607818,956,1900-01-01 15:25:07.115607818
298,2,239.255.255.250,=>,0b,0b,0b,0B,15-25-07.115607818,0,1900-01-01 15:25:07.115607818
299,,L02197.DIRECTORY.INTRA,<=,612b,612b,612b,153B,15-25-07.115607818,153,1900-01-01 15:25:07.115607818
300,1,172.21.134.247,=>,600b,600b,600b,150B,15-25-09.317587799,150,1900-01-01 15:25:09.317587799
301,,L02197.DIRECTORY.INTRA,<=,7.59Kb,7.59Kb,7.59Kb,1.90KB,15-25-09.317587799,1900,1900-01-01 15:25:09.317587799
302,2,mdns.mcast.net,=>,0b,0b,0b,0B,15-25-09.317587799,0,1900-01-01 15:25:09.317587799
303,,L02197.DIRECTORY.INTRA,<=,320b,320b,320b,80B,15-25-09.317587799,80,1900-01-01 15:25:09.317587799
304,1,172.21.134.247,=>,600b,600b,600b,150B,15-23-03.578686575,150,1900-01-01 15:23:03.578686575
305,,L02197.DIRECTORY.INTRA,<=,2.16Kb,2.16Kb,2.16Kb,554B,15-23-03.578686575,554,1900-01-01 15:23:03.578686575
306,2,239.255.255.250,=>,0b,0b,0b,0B,15-23-03.578686575,0,1900-01-01 15:23:03.578686575
307,,L02197.DIRECTORY.INTRA,<=,812b,812b,812b,203B,15-23-03.578686575,203,1900-01-01 15:23:03.578686575
308,3,mdns.mcast.net,=>,0b,0b,0b,0B,15-23-03.578686575,0,1900-01-01 15:23:03.578686575
